GPU,Application,Timestamp,GPU usage (%),Memory usage (MB),Power (W),CPU usage (%),RAM usage (MB),Framerate (FPS),Frametime (ms),Framerate Min (FPS),Framerate Avg (FPS),Framerate Max (FPS),Framerate 1% Low (FPS),Framerate 0.1% Low (FPS)
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:34,69,7484.582,96.265,56.202,28611,75.9,86.951,74.7,75.1,81.1,11.5,11.5
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:34,76,7463.457,97.348,69.957,28720,65.6,52.007,61.5,70.4,81.1,11.5,11.5
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:34,85,7463.52,100.158,63.512,28748,76.6,39.261,61.5,72.7,81.1,11.5,11.5
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:34,66,7471.98,89.902,65.601,28901,56.8,60.753,55.9,68.3,81.1,11.5,11.5
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:34,69,7423.094,91.407,64.794,28849,54.2,83.154,52.2,65.4,81.1,11.5,11.5
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:34,73,7415.523,102.733,62.597,28910,62.9,42.711,52.2,65,81.1,11.5,11.5
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:34,74,7449.27,106.457,64.687,28949,57.1,50.637,52.2,64,81.1,11.5,11.5
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:34,71,7338.895,108.465,60.891,28942,57.6,50.584,52.2,63.1,81.1,11.5,11.5
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:34,68,7413.535,109.26,66.199,29021,59.7,57.314,52.2,62.7,81.1,12,11.5
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:34,75,7509.465,93.889,66.483,29085,56.3,89.047,52.2,62,81.1,11.5,11.2
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:34,68,7465.488,80.288,60.117,29064,61.6,67.094,52.2,62.1,81.1,11.5,11.2
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:34,77,7459.676,103.327,60.092,29049,69.3,48.156,52.2,62.7,81.1,11.5,11.2
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:34,75,7459.738,96.222,57.262,29032,72.7,47.925,52.2,63.5,81.1,11.5,11.2
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:34,79,7459.801,96.574,55.877,28977,75.4,32.014,52.2,64.4,81.1,11.5,11.2
NVIDIA GeForce RTX 4060,Hogwart Legacy,4/1/2026 14:34,61,7449.738,79.825,64.061,28949,64.1,52.255,52.2,64.4,81.1,11.5,11.2
