Column,Mean,SD,CI,CI Upper,CI Lower,Sample Size (n)
GPU usage (%),76.9715,11.8588,76.9715 ± 1.3075,78.279,75.664,316
Memory usage (MB),4921.1101,47.6586,4921.1101 ± 5.2547,4926.3648,4915.8555,316
Power (W),69.738,7.5779,69.738 ± 0.8355,70.5735,68.9025,316
CPU usage (%),29.6063,4.6994,29.6063 ± 0.5182,30.1245,29.0882,316
RAM usage (MB),15471.2278,83.7669,15471.2278 ± 9.2359,15480.4637,15461.992,316
Framerate (FPS),132.294,20.9592,132.294 ± 2.3109,134.6049,129.9831,316
Frametime (ms),26.4881,18.75,26.4881 ± 2.0673,28.5554,24.4208,316
Framerate Min (FPS),53.7199,21.0727,53.7199 ± 2.3234,56.0433,51.3965,316
Framerate Avg (FPS),126.919,5.0382,126.919 ± 0.5555,127.4745,126.3635,316
Framerate Max (FPS),160.1766,8.3886,160.1766 ± 0.9249,161.1015,159.2517,316
Framerate 1% Low (FPS),25.7203,5.5721,25.7203 ± 0.6143,26.3346,25.1059,316
Framerate 0.1% Low (FPS),9.7358,8.1951,9.7358 ± 0.9036,10.6393,8.8322,316
