Column,Mean,SD,CI,CI Upper,CI Lower,Sample Size (n)
GPU usage (%),77.5237,6.8693,77.5237 ± 0.7561,78.2798,76.7675,317
Memory usage (MB),4747.451,76.3565,4747.451 ± 8.4055,4755.8565,4739.0455,317
Power (W),69.5273,4.8606,69.5273 ± 0.5351,70.0624,68.9922,317
CPU temperature (°C),86.1313,2.0414,86.1313 ± 0.2247,86.356,85.9066,317
CPU usage (%),33.8481,5.9574,33.8481 ± 0.6558,34.5039,33.1923,317
RAM usage (MB),15353.0883,291.7966,15353.0883 ± 32.1217,15385.21,15320.9666,317
Framerate (FPS),130.8416,13.6274,130.8416 ± 1.5002,132.3418,129.3415,317
Frametime (ms),27.6598,19.0174,27.6598 ± 2.0935,29.7532,25.5663,317
Framerate Min (FPS),45.424,26.3771,45.424 ± 2.9036,48.3276,42.5203,317
Framerate Avg (FPS),124.9382,3.7214,124.9382 ± 0.4097,125.3478,124.5285,317
Framerate Max (FPS),155.2372,11.5355,155.2372 ± 1.2699,156.5071,153.9674,317
Framerate 1% Low (FPS),22.3931,7.8246,22.3931 ± 0.8613,23.2544,21.5317,317
Framerate 0.1% Low (FPS),7.0612,8.3243,7.0612 ± 0.9164,7.9776,6.1448,317
