GPU,Application,Timestamp,GPU1 memory usage (MB),GPU1 core clock (MHz),GPU1 memory clock (MHz),GPU1 power (W),GPU1 temp limit,GPU1 power limit,GPU1 voltage limit,GPU1 no load limit,CPU temperature (°C),CPU usage (%),CPU clock (MHz),CPU power (W),RAM usage (MB),Commit charge (MB),Framerate (FPS),Frametime (ms),Framerate Min (FPS),Framerate Avg (FPS),Framerate Max (FPS),Framerate 1% Low (FPS),Framerate 0.1% Low (FPS),GPU1 temperature (°C),GPU1 usage (%)
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 17:43:56,3744.824,1785.000,6120.984,39.247,0.000,0.000,0.000,1.000,96.000,73.031,4000.000,39.291,15358.000,20957.000,45.500,0.000,35.600,49.100,55.800,25.200,13.800,83.000,74.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 17:43:56,3744.824,1725.000,6120.984,43.257,0.000,1.000,0.000,0.000,97.000,73.031,4000.000,39.291,15358.000,20956.000,45.700,0.000,35.600,49.100,55.800,25.200,13.800,84.000,74.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 17:43:57,3744.824,1785.000,6120.984,43.897,0.000,1.000,0.000,0.000,95.000,69.232,3600.000,39.774,15366.000,20961.000,46.800,88.843,35.600,49.100,55.800,25.200,13.800,84.000,63.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 17:43:58,3744.824,1785.000,6120.984,44.239,0.000,0.000,0.000,1.000,96.000,59.280,4100.000,39.683,15387.000,20980.000,52.700,26.022,35.600,49.100,55.800,25.200,13.800,84.000,80.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 17:43:59,3744.824,1785.000,6120.984,47.833,0.000,0.000,0.000,1.000,95.000,63.789,3900.000,40.365,15385.000,20974.000,46.400,32.601,35.600,49.100,55.800,25.200,13.800,84.000,75.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 17:44:00,3748.262,1785.000,6120.984,46.417,0.000,0.000,0.000,1.000,95.000,59.394,4000.000,40.462,15421.000,20967.000,48.200,35.116,35.600,49.100,55.800,25.200,13.800,84.000,73.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 17:44:01,3748.262,1785.000,6120.984,45.875,0.000,0.000,0.000,1.000,96.000,59.475,4100.000,40.957,15417.000,20977.000,53.100,23.860,35.600,49.100,55.800,25.200,13.800,84.000,76.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 17:44:02,3748.262,1740.000,6120.984,47.003,0.000,1.000,0.000,0.000,97.000,62.006,4100.000,39.954,15414.000,20969.000,53.900,26.627,35.600,49.100,55.800,25.200,13.800,84.000,81.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 17:44:03,3748.262,1785.000,6120.984,44.398,0.000,1.000,0.000,0.000,96.000,61.575,4000.000,40.055,15405.000,20962.000,52.900,24.383,35.600,49.100,55.800,25.200,13.800,84.000,82.000
NVIDIA GeForce GTX 1650,Wuthering Waves,03-01-2026 17:44:04,3751.871,1785.000,6120.984,48.247,0.000,0.000,0.000,1.000,96.000,45.877,3700.000,39.600,15413.000,20997.000,58.200,32.155,35.600,49.100,55.800,25.200,13.800,84.000,81.000
